CONTRAT_CLIENT|OFFRE_COMMERCIAL|DESC_SEGMENT_CLIENT|DATE_ACTIVATION|STATUT
CC_54459097|PRE - Double Reinstal|Enterprise/SME|26/08/2010 16:15:33|D
CC_56429233|PRE - 900 bonus|Residentiels|21/02/2011 08:52:13|D
CC_5928377|PRE - New Elissa|Elissa|22/04/2010 16:08:28|D
CC_56778871|PRE - TT 1000%|Residentiels|09/12/2010 10:24:57|D
CC_51848016|PRE - Double|Enterprise/SME|02/03/2010 09:26:53|D
CC_54259494|PRE - Trankil TT|Enterprise/SME|12/10/2010 15:00:40|D
CC_52208730|PRE - TT 1500%|Residentiels|11/08/2010 11:44:15|D
CC_59239113|PRE - Trankil TT|Residentiels|25/10/2010 09:46:18|D
CC_50368596|PRE - Trankil TT|Residentiels|14/07/2010 12:45:33|D
CC_51809412|PRE - Elissa 300%|Elissa|08/03/2011 12:39:46|D
CC_54737456|PRE - TT 1500%|Entreprise/Soho|08/11/2006|D
CC_55188805|PRE - TT 1000%|Residentiels|23/03/2011 13:56:02|D
CC_59358651|PRE - Trankil TT|Residentiels|23/06/2010 08:10:48|D
CC_55418172|PRE - New Elissa|Elissa|28/07/2010 12:54:14|D
CC_52718648|PRE - Trankil TT|Residentiels|05/07/2010 11:14:01|D
CC_53898428|PRE - TT 1500%|Entreprise/Soho|14/07/2010 10:25:11|D
CC_53118220|PRE - New Elissa|Elissa|23/06/2010 10:59:14|D
CC_56779023|PRE - TT 1500%|Residentiels|15/10/2010 15:00:54|D
CC_51007642|PRE - Trankil TT|Residentiels|20/04/2010 08:37:36|D
CC_55958622|PRE - 1=11|Entreprise/Soho|28/05/2010 13:03:34|D
CC_59539036|PRE - 1=11|Residentiels|16/11/2011 16:46:40|D
CC_56287861|PRE - Trankil TT|B2B2C adherent|25/06/2010 09:36:43|D
CC_53508995|PRE - TT 1500%|Enterprise/SME|11/08/2010 21:27:52|D
CC_52798057|PRE - TT 1500%|Residentiels|01/02/2010 15:34:57|D
CC_54279955|PRE - Corporate Optimum Family|Enterprise/SME|27/04/2011 15:27:31|D
CC_53779651|PRE - TT 300%|Entreprise/Soho|15/10/2010 12:52:43|D
CC_51828598|PRE - TT 1500%|Residentiels|13/08/2010 13:44:38|D
CC_50349023|PRE - Trankil TT|Residentiels|16/10/2010 17:28:11|D
CC_52099995|PRE - Trankil TT|Residentiels|20/05/2011 12:04:00|D
CC_56618759|PRE - offre 40|Enterprise/SME|25/09/2010 15:22:38|D
CC_58158046|PRE - Oulidha 1000%|Residentiels|13/06/2010 10:22:20|D
CC_56718675|PRE - Trankil TT|B2B2C amicale|27/04/2014 16:53:01|D
CC_51978673|PRE - Double Reinstal|Residentiels|22/08/2011 11:09:42|D
CC_57157824|PRE - TM 35mil/min|Enterprise/SME|24/05/2010 11:39:46|D
CC_55288590|PRE - Family Connect|Residentiels|30/06/2010 09:51:14|D
CC_54478676|PRE - 1=11|Residentiels|29/06/2010 12:22:30|D
CC_54478743|PRE - Trankil TT|Entreprise/Soho|24/07/2010 20:07:35|D
CC_51618826|PRE - Trankil TT|Enterprise/SME|09/06/2010 18:11:40|D
CC_50767498|PRE - TT 1500%|Residentiels|29/05/2010 15:38:05|D
CC_53907740|PRE - Family Connect|B2B2C amicale|19/02/2010 13:13:41|D
CC_5897530|PRE - New Elissa|Elissa|28/07/2010 17:54:34|D
CC_50728769|PRE - Trankil TT|Enterprise/SME|10/08/2010 10:06:28|D
CC_57709169|PRE - 1=11|Residentiels|12/11/2010 13:56:27|D
CC_52778561|PRE - Trankil TT|Entreprise/Soho|20/11/2010 17:02:18|D
CC_53078053|PRE - 900 bonus|Residentiels|02/04/2010 16:40:34|D
CC_53128630|PRE - TT 1500%|Residentiels|05/06/2010 17:51:40|D
CC_57408519|PRE - TT 1500%|Enterprise/SME|01/09/2010 00:39:49|D
CC_53799007|PRE - Family Connect|Enterprise/SME|14/02/2011 16:39:34|D
CC_52538166|PRE - New Elissa|Elissa|04/07/2010 17:47:32|D
CC_52429878|PRE - TT 1500%|Residentiels|11/11/2011 12:09:07|D
CC_54818730|PRE - 1=11|Residentiels|04/08/2010 12:07:35|D
CC_53068600|PRE - 900 bonus|Enterprise/KeyAccounts|14/04/2010 10:45:32|D
CC_55187897|PRE - TT 1500%|Entreprise/Soho|03/03/2010 20:17:18|D
CC_52447989|PRE - TT 1000%|Residentiels|16/03/2010 11:03:23|D
CC_51788867|PRE - Day Pass|Residentiels|16/03/2012 16:54:12|D
CC_58488148|PRE - New Elissa|Elissa|16/09/2010 09:46:00|D
CC_57718624|PRE - Trankil TT|B2B2C adherent|29/05/2010 07:36:19|D
CC_53029202|PRE - AHLA|Residentiels|29/01/2011 17:43:52|D
CC_57038700|PRE - 900 bonus|B2B2C adherent|03/08/2010 19:29:14|D
CC_54049025|PRE - 900 bonus|Residentiels|07/10/2010 12:47:36|D
CC_50657452|PRE - Double Reinstal|Residentiels|09/11/2006|A
CC_54537461|PRE - TT 1500%|Residentiels|08/05/2007|A
CC_59727883|PRE - TT 1500%|Residentiels|11/05/2010 16:12:51|A
CC_53658076|PRE - TT 1500%|Residentiels|12/04/2010 13:03:24|A
CC_56888102|PRE - offre 40|Residentiels|09/02/2010 17:52:22|A
CC_50498398|PRE - Double|Residentiels|20/06/2010 09:33:22|A
CC_59678588|PRE - Binetna|Residentiels|22/08/2010 11:36:31|S
CC_52678670|PRE - TT 1500%|Residentiels|02/09/2010 14:56:13|A
CC_56298672|PRE - 900 bonus|Residentiels|12/06/2010 12:38:21|A
CC_53078853|PRE - TT 1500%|Residentiels|11/11/2010 08:35:44|S
CC_59288976|PRE - Trankil TT|Residentiels|13/02/2011 11:24:18|A
CC_53569005|PRE - 900 bonus|Residentiels|30/03/2014 19:10:30|A
CC_51659007|PRE - TT 1500%|Residentiels|14/01/2011 12:11:58|A
CC_58009031|PRE - Double|Residentiels|10/12/2011 15:30:10|A
CC_55359040|PRE - TT 1500%|Residentiels|19/08/2011 12:52:28|A
CC_50339176|PRE - Double|Residentiels|04/12/2010 13:36:39|A
CC_50319254|PRE - Trankil TT|Residentiels|12/02/2011 12:13:29|A
CC_55689270|PRE - 1=11|Residentiels|01/03/2011 13:54:06|A
CC_57819719|PRE - 900 bonus|Residentiels|06/01/2012 12:22:57|A
CC_55819834|PRE - AHLA|Residentiels|03/06/2011 09:41:00|A
CC_5747587|PRE - New Elissa|Elissa|19/02/2010 09:42:56|A
CC_57847437|PRE - 900 bonus|Residentiels|11/04/2007|A
CC_56197463|PRE - Family Connect|Entreprise/Soho|10/04/2007|S
CC_52387630|PRE - Double|Residentiels|09/06/2014 10:53:26|A
CC_54948404|PRE - TT 1000%|Enterprise/KeyAccounts|17/08/2010 09:37:24|A
CC_54978688|PRE - TT 1000%|Residentiels|20/06/2010 09:43:41|A
CC_56988931|PRE - TT 1500%|Residentiels|18/01/2011 11:22:42|A
CC_50729045|PRE - TT 1500%|Residentiels|22/09/2011 12:03:58|A
CC_53729096|PRE - Trankil TT|Enterprise/SME|20/08/2010 08:14:55|A
CC_55539848|PRE - 1=11|Enterprise/KeyAccounts|22/06/2011 09:53:19|A
CC_5429998|PRE - TT 1500%|Residentiels|27/04/2009|A
CC_57527699|PRE - TT 1000%|Residentiels|02/02/2010 10:32:44|A
CC_52828746|PRE - Trankil TT|Residentiels|14/10/2010 15:20:44|A
CC_50279097|PRE - TT 1500%|Enterprise/SME|25/08/2010 16:23:38|A
CC_57069696|PRE - Corporate Optimum Family|Enterprise/SME|20/12/2010 16:04:10|A
CC_56937444|PRE - Trankil TT|Residentiels|14/04/2007|A
CC_51407852|PRE - TT 1500%|Residentiels|27/03/2010 09:02:44|A
CC_55597883|PRE - TT 1500%|Residentiels|22/03/2013 16:14:35|A
CC_52078080|PRE - Double|Residentiels|20/03/2010 08:18:26|A
CC_59088567|PRE - TT 1500%|Residentiels|13/09/2010 17:08:32|S
CC_59338641|PRE - Double|Residentiels|17/06/2010 17:08:43|A
CC_59328668|PRE - Trankil TT|Residentiels|17/09/2010 11:18:52|A
CC_55738788|PRE - TT 1500%|Residentiels|20/07/2010 18:34:21|A
CC_50858998|PRE - TT 1500%|Residentiels|03/02/2012 18:28:29|A
CC_52769005|PRE - Day Pass|Residentiels|08/10/2012 16:19:42|A
CC_59089009|PRE - offre 40|Residentiels|05/02/2011 14:04:26|A
CC_56919013|PRE - Trankil TT|Residentiels|11/05/2011 16:33:44|A
CC_54739014|PRE - Double Reinstal|Residentiels|27/05/2013 08:01:09|A
CC_59529027|PRE - TT 1500%|Residentiels|10/10/2010 09:51:59|A
CC_56679031|PRE - TT 1500%|Residentiels|04/12/2010 19:24:44|A
CC_55439117|PRE - Trankil TT|Residentiels|06/11/2010 10:56:46|A
CC_56247646|PRE - TT 1500%|Residentiels|13/02/2010 20:20:27|A
CC_51797922|PRE - Double|Residentiels|05/02/2015 14:22:13|S
CC_54589640|PRE - New Elissa|Elissa|06/06/2011 20:03:40|A
CC_52777625|PRE - Double|Residentiels|11/05/2010 09:03:30|A
CC_53117907|PRE - Trankil TT|Residentiels|15/03/2010 10:56:46|A
CC_56338083|PRE - TT 1500%|Residentiels|02/04/2010 11:54:50|A
CC_56068324|PRE - Trankil ELISSA|Elissa|21/09/2010 11:20:26|A
CC_50928596|PRE - TT 1000%|Residentiels|27/06/2010 09:18:18|A
CC_56008663|PRE - Trankil TT|Residentiels|10/06/2010 09:29:28|A
CC_50869107|PRE - TT 1500%|Residentiels|12/11/2010 16:27:36|A
CC_58059699|PRE - TT 1500%|Residentiels|28/12/2010 10:16:49|A
CC_53739704|PRE - 1=11|Residentiels|06/01/2011 10:00:09|A
CC_56329781|PRE - 900 bonus|Residentiels|26/06/2011 09:41:43|A
CC_59069899|PRE - Trankil TT|Residentiels|29/08/2011 11:00:47|A
CC_56297593|PRE - TT 1500%|Residentiels|29/04/2010 09:14:01|A
CC_54657740|PRE - Double|Residentiels|30/07/2010 08:54:07|A
CC_53387745|PRE - Double|Residentiels|16/02/2010 10:20:01|A
CC_57038053|PRE - TT 1500%|Residentiels|15/02/2010 11:45:17|A
CC_56918682|PRE - Trankil TT|Residentiels|18/06/2010 14:12:32|A
CC_56678970|PRE - TT 1500%|Residentiels|15/10/2011 07:15:25|A
CC_57419010|PRE - TT 1000%|Residentiels|05/02/2011 09:59:18|A
CC_56229339|PRE - Elissa|Elissa|03/11/2010 14:24:44|A
CC_52689953|PRE - TT 1500%|Residentiels|25/03/2011 11:18:09|A
CC_50117746|PRE - TT 1500%|Residentiels|23/03/2010 10:57:10|A
CC_56537840|PRE - Trankil TT|Residentiels|09/07/2010 11:43:45|A
CC_55939142|PRE - Trankil TT|Residentiels|11/11/2010 15:28:34|A
CC_51999947|PRE - 900 bonus|Residentiels|17/09/2011 11:30:42|A
CC_51199973|PRE - Binetna|Residentiels|09/09/2011 09:54:15|A
CC_59437772|PRE - TT 1000%|Residentiels|04/03/2010 11:57:51|A
CC_53788090|PRE - AHLA|Residentiels|26/02/2010 16:52:47|A
CC_55048353|PRE - Trankil TT|Residentiels|04/06/2010 15:01:10|A
CC_53169021|PRE - 900 bonus|Residentiels|15/03/2012 13:18:30|A
CC_56969182|PRE - TT 1500%|Enterprise/SME|06/01/2011 14:41:42|A
CC_53569734|PRE - 900 bonus|Residentiels|27/06/2011 16:16:12|A
CC_53569908|PRE - Trankil TT|Residentiels|09/09/2011 09:49:15|A
CC_56359973|PRE - TT 1500%|Residentiels|04/08/2011 08:03:09|A
CC_52437522|PRE - TT 1500%|Residentiels|05/05/2010 13:56:26|A
CC_57347761|PRE - Double|Residentiels|17/05/2010 10:45:14|A
CC_54588431|PRE - offre 40|Residentiels|15/07/2010 09:41:10|A
CC_56228666|PRE - TT 1500%|Residentiels|14/06/2010 16:07:32|A
CC_52658900|PRE - TT 1000%|Residentiels|23/10/2010 09:16:55|A
CC_56908913|PRE - Double|Residentiels|15/01/2012 11:04:18|A
CC_58189694|PRE - Corporate Optimum Family|Enterprise/SME|13/12/2010 16:37:57|A
CC_54529919|PRE - Double|Residentiels|22/09/2011 10:16:37|A
CC_50869962|PRE - 1=11|Residentiels|27/04/2011 10:49:42|A
CC_54627767|PRE - TT 1000%|Residentiels|19/03/2010 14:57:55|A
CC_57597773|PRE - 1=11|Residentiels|25/05/2010 12:30:16|S
CC_56128561|PRE - 900 bonus|Residentiels|02/10/2010 07:07:31|A
CC_50638623|PRE - 1=11|Residentiels|21/06/2010 17:10:36|A
CC_57038791|PRE - Double|Residentiels|05/08/2010 13:10:44|A
CC_51579703|PRE - Trankil TT|Residentiels|03/01/2011 11:54:48|A
CC_56938662|PRE - TT 1500%|Residentiels|20/06/2010 10:14:59|A
CC_54189084|PRE - Trankil TT|Residentiels|13/10/2010 09:04:21|A
CC_53928266|PRE - Elissa 300%|Elissa|09/09/2010 09:46:28|A
CC_50338319|PRE - Trankil ELISSA|Elissa|12/10/2010 10:12:17|A
CC_59678505|PRE - Double|Residentiels|15/07/2010 08:32:34|A
CC_52408563|PRE - TT 1000%|Residentiels|04/09/2010 09:27:51|A
CC_54199150|PRE - TT 1500%|Residentiels|08/11/2010 12:54:59|A
CC_52417437|PRE - TT 1500%|Residentiels|27/09/2006|A
CC_54627447|PRE - 900 bonus|Residentiels|02/08/2006|A
CC_53857734|PRE - Double Reinstal|Residentiels|20/08/2010 11:01:24|A
CC_55918085|PRE - AHLA|Residentiels|04/02/2010 16:11:52|A
CC_51878096|PRE - 900 bonus|Residentiels|04/12/2013 10:26:04|A
CC_50158476|PRE - TT 1000%|Residentiels|22/07/2010 13:06:34|A
CC_52888538|Hayya|Enterprise/SME|28/08/2010 14:50:38|A
CC_58558571|PRE - TT 1500%|Residentiels|27/11/2010 11:24:50|A
CC_56639022|PRE - Trankil TT|Residentiels|13/11/2010 12:46:11|A
CC_56429038|PRE - Trankil TT|Enterprise/KeyAccounts|11/04/2012 17:35:53|A
CC_51258553|PRE - TT 1500%|Residentiels|09/09/2010 16:32:54|A
CC_56248591|PRE - TT 1500%|Residentiels|02/09/2010 11:58:06|A
CC_50428596|PRE - 900 bonus|Residentiels|15/07/2010 12:34:12|S
CC_53008598|PRE - Trankil TT|Residentiels|16/09/2011 11:04:32|A
CC_55338706|PRE - Trankil TT|Residentiels|04/08/2010 08:32:04|A
CC_59238757|PRE - 900 bonus|Residentiels|11/05/2011 20:07:31|A
CC_55948791|PRE - TT 1500%|Residentiels|31/07/2010 09:59:21|A
CC_54238823|PRE - TT 1500%|Residentiels|29/05/2010 12:10:56|A
CC_50998868|PRE - Double|Residentiels|15/10/2010 12:56:09|A
CC_50019011|PRE - TT 1000%|Residentiels|25/01/2011 12:38:38|A
CC_59779033|PRE - Trankil TT|Residentiels|10/12/2011 15:15:14|A
CC_50119713|PRE - TT 1500%|Residentiels|28/05/2011 17:54:12|A
CC_5747797|PRE - New Elissa|Elissa|04/05/2010 10:32:09|A
CC_5708915|PRE - New Elissa|Elissa|16/07/2010 11:39:22|A
CC_50138479|PRE - 900 bonus|Residentiels|17/10/2010 11:26:13|S
CC_57369012|PRE - 900 bonus|Residentiels|08/01/2011 14:44:56|A
CC_50409278|PRE - 900 bonus|Residentiels|24/01/2011 16:55:33|A
CC_50889880|PRE - SIGOUNDA|Residentiels|03/08/2011 11:27:16|A
CC_51217567|PRE - Trankil TT|Residentiels|16/08/2011 12:00:30|A
CC_53107695|PRE - Day Pass|Residentiels|23/02/2010 09:22:20|S
CC_52907912|PRE - 900 bonus|Residentiels|21/04/2010 10:54:27|A
CC_53667968|PRE - 1=11|Residentiels|25/03/2010 16:04:42|A
CC_59588090|PRE - TT 1500%|Residentiels|19/02/2010 16:54:53|A
CC_53498230|PRE - New Elissa|Elissa|08/08/2010 19:24:14|A
CC_57378451|PRE - Trankil TT|Residentiels|20/07/2010 09:37:45|A
CC_50928763|PRE - TT 1500%|Residentiels|26/09/2010 12:24:39|A
CC_59738895|PRE - 1=11|Residentiels|11/11/2010 10:52:52|A
CC_57408997|PRE - 900 bonus|Residentiels|13/12/2010 11:51:56|A
CC_52539016|PRE - TT 1500%|Residentiels|14/10/2010 09:11:27|A
CC_59949025|PRE - Double Reinstal|Residentiels|16/12/2010 12:49:09|A
CC_51229035|PRE - Trankil TT|Residentiels|22/10/2010 23:53:10|A
CC_52489048|PRE - TT 1500%|Residentiels|24/09/2010 11:18:40|A
CC_50059084|PRE - 900 bonus|Residentiels|18/09/2010 15:19:21|A
CC_55349096|PRE - 900 bonus|Residentiels|23/08/2010 10:12:08|A
CC_54799135|PRE - TT 1000%|Residentiels|01/11/2010 16:08:11|S
CC_5339842|PRE - New Elissa|Elissa|13/06/2010 16:44:13|A
CC_56407767|PRE - TT 1500%|Residentiels|28/02/2010 20:30:31|A
CC_52327918|PRE - 1=11|Residentiels|04/06/2010 12:01:44|S
CC_57708869|PRE - TM 35mil/min|Residentiels|15/09/2010 09:40:38|A
CC_54409023|PRE - 1=11|Residentiels|15/10/2010 17:09:50|A
CC_58648996|PRE - Trankil TT|Residentiels|02/12/2010 18:34:24|D
CC_50997463|PRE - TT 1500%|Residentiels|25/08/2006|A
CC_53238273|PRE - 1=11|Residentiels|06/03/2010 13:11:55|A
CC_53368361|PRE - 900 bonus|Residentiels|13/04/2010 15:58:08|A
CC_52238456|PRE - TT 1000%|Residentiels|14/11/2010 14:56:12|A
CC_53598881|PRE - TT 1500%|Residentiels|26/11/2010 11:21:25|A
CC_59128930|PRE - TT 1500%|Residentiels|31/03/2011 09:25:55|A
CC_54939006|PRE - Trankil TT|Residentiels|19/12/2010 16:31:25|A
CC_59579103|PRE - Trankil TT|Residentiels|11/11/2010 11:08:40|A
CC_51739993|PRE - Double|Residentiels|04/04/2011 09:45:11|A
CC_54498862|PRE - Double|Entreprise/Soho|30/09/2010 17:16:40|D
CC_59778490|PRE - Binetna|Residentiels|27/10/2010 11:56:07|D
CC_53898841|PRE - Day Pass|Residentiels|23/08/2010 10:42:37|D
CC_59089029|PRE - 1=11|Residentiels|18/05/2012 18:51:16|D
CC_54708548|PRE - Double|B2B2C adherent|31/08/2010 19:52:02|D
CC_52657463|PRE - Trankil TT|Residentiels|13/04/2007|A
CC_50277693|PRE - TT 1500%|Residentiels|25/02/2010 13:25:39|A
CC_55207844|PRE - Corporate Optimum Family|Residentiels|12/02/2010 10:34:35|A
CC_56518089|PRE - AHLA|Residentiels|09/02/2010 10:13:12|A
CC_59568116|PRE - New Elissa|Elissa|31/07/2010 08:46:24|A
CC_52768203|PRE - Trankil ELISSA|Elissa|08/09/2010 10:16:12|A
CC_53298553|PRE - TT 1500%|Residentiels|24/09/2010 16:01:15|A
CC_54288639|PRE - Trankil TT|Residentiels|07/07/2010 18:04:04|A
CC_52418968|PRE - TT 1500%|Residentiels|23/03/2011 09:15:14|A
CC_54188993|PRE - 900 bonus|Enterprise/SME|06/08/2010 07:37:06|A
CC_57489042|PRE - 900 bonus|Residentiels|17/02/2011 12:40:16|A
CC_50329667|PRE - TT 1500%|Entreprise/Soho|20/10/2010 11:11:29|A
CC_57809685|PRE - Corporate Optimum Family|Enterprise/SME|07/12/2010 22:48:49|A
CC_50187944|PRE - 900 bonus|Residentiels|29/03/2010 10:30:43|A
CC_50018684|PRE - Day Pass|Residentiels|28/08/2010 21:19:22|S
CC_54658751|PRE - TT 1500%|Residentiels|27/07/2010 10:09:39|A
CC_53338761|PRE - 900 bonus|Residentiels|01/11/2010 11:28:41|A
CC_58638795|PRE - TT 1500%|Residentiels|15/02/2011 17:46:10|A
CC_56818837|PRE - TT 1500%|Residentiels|08/08/2010 08:05:16|A
CC_51909001|PRE - TT 1000%|Residentiels|16/10/2010 12:59:52|A
CC_54759040|PRE - Trankil TT|Residentiels|20/09/2010 10:09:42|A
CC_58999132|PRE - TT 1500%|Residentiels|07/11/2010 17:58:19|A
CC_51267524|PRE - TT 1500%|Residentiels|23/04/2010 20:15:22|A
CC_55267664|PRE - Trankil TT|Residentiels|13/03/2010 11:28:28|A
CC_52797783|PRE - Trankil TT|Residentiels|11/03/2010 10:00:04|A
CC_55308569|PRE - TT 1000%|Residentiels|17/09/2010 13:23:05|A
CC_50408593|PRE - TT 1500%|Residentiels|16/07/2010 07:51:03|A
CC_51088597|PRE - Corporate Optimum Family|Residentiels|08/08/2010 13:14:35|A
CC_52439039|PRE - TT 1500%|Residentiels|21/07/2011 10:44:21|A
CC_57179624|PRE - Elissa 300%|Elissa|18/05/2011 17:39:20|S
CC_59679730|PRE - Family Connect|Enterprise/KeyAccounts|03/08/2011 08:42:08|S
CC_50817655|PRE - TT 1500%|Residentiels|26/06/2010 12:01:17|A
CC_56308201|PRE - Elissa 300%|Elissa|06/10/2010 08:09:51|A
CC_51228586|PRE - Trankil TT|Residentiels|19/09/2010 13:59:17|A
CC_59978701|PRE - 900 bonus|Residentiels|20/07/2010 15:56:16|A
CC_50638860|PRE - TT 1000%|Residentiels|25/08/2010 12:46:24|A
CC_55199000|PRE - 900 bonus|Residentiels|11/02/2012 16:15:22|A
CC_50829305|PRE - TT 1500%|Residentiels|25/09/2010 10:59:45|A
CC_54729778|PRE - TT 1500%|Residentiels|05/07/2011 10:41:16|A
CC_53357465|PRE - TT 1500%|Residentiels|11/02/2010 10:42:10|A
CC_50227651|PRE - TT 1500%|Residentiels|20/04/2010 15:33:50|A
CC_59997930|PRE - 1=11|Residentiels|08/02/2010 13:49:32|A
CC_56587935|PRE - 1=11|Residentiels|02/02/2010 14:12:39|A
CC_53078511|PRE - Day Pass|Residentiels|20/08/2010 16:55:35|S
CC_55358532|PRE - 900 bonus|Residentiels|18/02/2011 14:18:51|A
CC_56028573|PRE - TT 1500%|Residentiels|09/09/2010 09:29:14|A
CC_53248655|PRE - Oulidha 1000%|Residentiels|20/06/2010 12:51:18|A
CC_56278672|PRE - Trankil TT|Residentiels|12/06/2010 09:47:21|A
CC_51638807|PRE - 900 bonus|Residentiels|04/01/2011 15:26:06|A
CC_52629038|PRE - 900 bonus|Residentiels|15/10/2010 14:57:11|A
CC_51319139|PRE - AHLA|Residentiels|28/11/2010 10:34:21|A
CC_51769541|PRE - New Elissa|Elissa|05/04/2011 11:13:56|A
CC_59349541|PRE - New Elissa|Elissa|18/04/2011 16:31:26|A
CC_53279759|PRE - 1=11|Residentiels|15/07/2011 12:27:33|A
CC_56639837|PRE - TT 1500%|Residentiels|22/06/2011 19:05:23|A
CC_51049927|PRE - TT 1500%|Residentiels|24/08/2012 11:28:08|A
CC_57328652|PRE - TT 1500%|Residentiels|21/06/2010 17:37:52|A
CC_55348708|PRE - 900 bonus|Residentiels|10/07/2010 09:34:17|A
CC_55639271|PRE - TT 1000%|Residentiels|17/03/2011 11:59:27|A
CC_50419951|PRE - TT 1000%|Residentiels|26/03/2011 10:04:35|A
CC_5179138|PRE - Elissa 300%|Elissa|07/05/2010 10:17:24|A
CC_52798170|PRE - New Elissa|Elissa|16/07/2010 09:34:27|A
CC_57508680|PRE - TT 1500%|Residentiels|11/02/2014 08:03:15|A
CC_58358879|PRE - TT 1500%|Residentiels|03/11/2010 11:42:03|A
CC_56579078|PRE - TT 1000%|Residentiels|20/11/2010 11:53:50|S
CC_54119573|PRE - Elissa 300%|Elissa|06/04/2011 15:11:26|A
CC_58199733|PRE - TT 1500%|Residentiels|08/07/2011 09:33:22|A
